time,actionType,metadata
84.71997,IATalk,Ce cube me semble trop gros pour être celui que tu cherches. Tu ne crois pas?
100.0076,IATalk,Est-ce que tu as besoin d'aide ?
200.0018,IATalk,Si tu as du mal à trouver les éléments. n'hésite pas à me demander!
216.9478,UserTalk,1.82
218.2399,IATalk,Voici la machine à réparer
238.7474,UserTalk,4.44
241.1658,Point,(2.24. 2.88. -2.09)
300.0124,IATalk,As tu besoin de connaitre des informations sur les éléments? Leur couleur par exemple?
373.7212,UserTalk,0.10
400.0198,IATalk,As tu besoin de connaitre des informations sur les éléments? Leur couleur par exemple?
474.2135,UserTalk,3.86
476.3381,Point,(-2.37. 1.86. -12.51)
550.969,UserTalk,3.18
552.5364,IATalk,Regarde les consignes
573.6478,UserTalk,3.24
575.0819,Point,(-11.50. 3.25. -2.86)
713.3995,UserTalk,1.90
714.8162,Point,(-14.46. 2.45. -15.37)
792.5602,UserTalk,3.26
793.6996,Point,(-14.46. 2.45. -15.37)
924.2396,End
